"STATISTIC Label","Year","Type of Offence","UNIT","VALUE"
"Recorded crime incidents","2003","Homicide offences","Number","100"
"Recorded crime incidents","2003","Murder","Number","35"
"Recorded crime incidents","2003","Manslaughter","Number","16"
"Recorded crime incidents","2003","Infanticide","Number","0"
"Recorded crime incidents","2003","Dangerous driving leading to death","Number","49"
"Recorded crime incidents","2003","Sexual offences","Number","1572"
"Recorded crime incidents","2003","Rape of a male or female","Number","325"
"Recorded crime incidents","2003","Defilement of a boy or girl less than 17 years old","Number","112"
"Recorded crime incidents","2003","Sexual offence involving mentally impaired person","Number","23"
"Recorded crime incidents","2003","Aggravated sexual assault","Number","11"
"Recorded crime incidents","2003","Sexual assault (not aggravated)","Number","1000"
"Recorded crime incidents","2003","Other sexual offences","Number","101"
"Recorded crime incidents","2003","Attempts/threats to murder, assaults, harassments and related offences","Number","13536"
"Recorded crime incidents","2003","Murder-attempt","Number","5"
"Recorded crime incidents","2003","Threat to kill or cause serious harm","Number","42"
"Recorded crime incidents","2003","Harassment and related offences","Number","1064"
"Recorded crime incidents","2003","Assault causing harm, poisoning","Number","3941"
"Recorded crime incidents","2003","Other assault","Number","8484"
"Recorded crime incidents","2003","Dangerous or negligent acts","Number","11962"
"Recorded crime incidents","2003","Dangerous driving causing serious bodily harm","Number","20"
"Recorded crime incidents","2003","Driving/in charge of a vehicle while over legal alcohol limit","Number","11481"
"Recorded crime incidents","2003","Driving/in charge of a vehicle under the influence of drugs","Number","77"
"Recorded crime incidents","2003","Endangerment with potential for serious harm/death","Number","51"
"Recorded crime incidents","2003","Abandoning a child, child neglect and cruelty","Number","178"
"Recorded crime incidents","2003","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents","2003","False alarm/interference with aircraft or air transport facilities","Number","12"
"Recorded crime incidents","2003","Endangering traffic offences","Number","143"
"Recorded crime incidents","2003","Kidnapping and related offences","Number","97"
"Recorded crime incidents","2003","False imprisonment","Number","73"
"Recorded crime incidents","2003","Abduction of person under 16 years of age","Number","24"
"Recorded crime incidents","2003","Human trafficking offences","Number","0"
"Recorded crime incidents","2003","Robbery, extortion and hijacking offences","Number","2911"
"Recorded crime incidents","2003","Robbery of an establishment or institution","Number","1030"
"Recorded crime incidents","2003","Robbery of cash or goods in transit","Number","53"
"Recorded crime incidents","2003","Robbery from the person","Number","1716"
"Recorded crime incidents","2003","Blackmail or extortion","Number","21"
"Recorded crime incidents","2003","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","91"
"Recorded crime incidents","2003","Burglary and related offences","Number","25755"
"Recorded crime incidents","2003","Aggravated burglary","Number","327"
"Recorded crime incidents","2003","Burglary (not aggravated)","Number","25207"
"Recorded crime incidents","2003","Possession of an article (with intent to burgle, steal, demand)","Number","221"
"Recorded crime incidents","2003","Theft and related offences","Number","73422"
"Recorded crime incidents","2003","Theft/taking of vehicle and related offences","Number","13146"
"Recorded crime incidents","2003","Theft from person","Number","6662"
"Recorded crime incidents","2003","Theft from shop","Number","15692"
"Recorded crime incidents","2003","Other thefts, handling stolen property","Number","37922"
"Recorded crime incidents","2003","Fraud, deception and related offences","Number","3637"
"Recorded crime incidents","2003","Controlled drug offences","Number","9295"
"Recorded crime incidents","2003","Importation of drugs","Number","36"
"Recorded crime incidents","2003","Cultivation or manufacture of drugs","Number","72"
"Recorded crime incidents","2003","Possession of drugs for sale or supply","Number","2308"
"Recorded crime incidents","2003","Possession of drugs for personal use","Number","6506"
"Recorded crime incidents","2003","Other drug offences","Number","373"
"Recorded crime incidents","2003","Weapons and Explosives Offences","Number","1914"
"Recorded crime incidents","2003","Explosives, chemical weapons offences","Number","52"
"Recorded crime incidents","2003","Discharging a firearm","Number","210"
"Recorded crime incidents","2003","Possession of a firearm","Number","369"
"Recorded crime incidents","2003","Offensive weapons offences (n.e.c.)","Number","1283"
"Recorded crime incidents","2003","Fireworks offences","Number","0"
"Recorded crime incidents","2003","Damage to property and to the environment","Number","34023"
"Recorded crime incidents","2003","Arson","Number","1418"
"Recorded crime incidents","2003","Criminal damage (not arson)","Number","32518"
"Recorded crime incidents","2003","Litter offences","Number","87"
"Recorded crime incidents","2003","Public order and other social code offences","Number","45142"
"Recorded crime incidents","2003","Disorderly conduct","Number","37665"
"Recorded crime incidents","2003","Trespass offences","Number","1439"
"Recorded crime incidents","2003","Liquor licensing offences","Number","4342"
"Recorded crime incidents","2003","Prostitution offences","Number","196"
"Recorded crime incidents","2003","Regulated betting/money, collection/trading offences","Number","304"
"Recorded crime incidents","2003","Social code offences (n.e.c.)","Number","1196"
"Recorded crime incidents","2003","Offences against government, justice procedures and organisation of crime","Number","6837"
"Recorded crime incidents","2003","Offences against government and its agents","Number","198"
"Recorded crime incidents","2003","Organisation of crime and conspiracy to commit crime","Number","11"
"Recorded crime incidents","2003","Perverting the course of justice","Number","247"
"Recorded crime incidents","2003","Offences while in custody, breach of court orders","Number","6381"
"Recorded crime incidents","2004","Homicide offences","Number","124"
"Recorded crime incidents","2004","Murder","Number","29"
"Recorded crime incidents","2004","Manslaughter","Number","16"
"Recorded crime incidents","2004","Infanticide","Number","0"
"Recorded crime incidents","2004","Dangerous driving leading to death","Number","79"
"Recorded crime incidents","2004","Sexual offences","Number","1478"
"Recorded crime incidents","2004","Rape of a male or female","Number","410"
"Recorded crime incidents","2004","Defilement of a boy or girl less than 17 years old","Number","113"
"Recorded crime incidents","2004","Sexual offence involving mentally impaired person","Number","14"
"Recorded crime incidents","2004","Aggravated sexual assault","Number","14"
"Recorded crime incidents","2004","Sexual assault (not aggravated)","Number","864"
"Recorded crime incidents","2004","Other sexual offences","Number","63"
"Recorded crime incidents","2004","Attempts/threats to murder, assaults, harassments and related offences","Number","13272"
"Recorded crime incidents","2004","Murder-attempt","Number","1"
"Recorded crime incidents","2004","Threat to kill or cause serious harm","Number","47"
"Recorded crime incidents","2004","Harassment and related offences","Number","976"
"Recorded crime incidents","2004","Assault causing harm, poisoning","Number","3889"
"Recorded crime incidents","2004","Other assault","Number","8359"
"Recorded crime incidents","2004","Dangerous or negligent acts","Number","12669"
"Recorded crime incidents","2004","Dangerous driving causing serious bodily harm","Number","29"
"Recorded crime incidents","2004","Driving/in charge of a vehicle while over legal alcohol limit","Number","12156"
