Garda Station,Latitude,Longitude
"35301 Abbeyfeale, Limerick Division",52.3851792,-9.3007966
"41201 Abbeyleix, Laois/Offaly Division",52.9152801,-7.347892300000001
"35302 Adare, Limerick Division",52.5636521,-8.7925281
"54101 Aglish, Waterford Division",52.0715072,-7.822269599999999
"23101 Ahascragh, Galway Division",53.3976127,-8.3346318
"12501 Ailt an Chorraiin, Donegal Division",54.9845286,-8.4326581
"12502 An Bun Beag, Donegal Division",55.060874,-8.3003485
"12503 An Charraig, Donegal Division",55.10454499999999,-8.2860585
"23601 An Cheathru Rua, Galway Division",53.2641084,-9.5982671
"12504 An Clochain Liath, Donegal Division",54.95028869999999,-8.357362799999999
"34101 An Coirean, Kerry Division",51.829465,-10.1745436
"12401 An Craoslach, Donegal Division",55.12334970000001,-7.909467599999999
"12402 An Fail Carrach, Donegal Division",54.6548993,-8.1040967
"23201 An Maim, Galway Division",53.5190912,-9.565811499999999
"54102 An Rinn, Waterford Division",52.04689450000001,-7.571887899999999
"23602 An Spideal, Galway Division",53.2441766,-9.3058803
"31101 Anglesea Street, Cork City Division",51.8959182,-8.4656304
"34303 Annascaul, Kerry Division",52.1510786,-10.0567611
"23301 Aran More, Galway Division",53.1288715,-9.7196641
"12507 Ard an Raitha, Donegal Division",54.6534759,-8.0977633
"14101 Ardee, Louth Division",53.8562568,-6.5394307
"34304 Ardfert, Kerry Division",52.3269477,-9.7807341
"51101 Ardfinnan, Tipperary Division",52.3092483,-7.8842292
"54103 Ardmore, Waterford Division",51.9510741,-7.725328999999999
"35201 Ardnacrusha, Limerick Division",52.7104277,-8.602863
"23401 Ardrahan, Galway Division",53.1564343,-8.8058651
"43301 Arklow, Wicklow Division",52.7973267,-6.1621885
"41202 Arles, Laois/Offaly Division",52.89297,-7.020919999999999
"11401 Arva, Cavan/Monaghan Division",53.9214383,-7.5799134
"42101 Ashbourne, Meath Division",53.5106742,-6.3969054
"43302 Ashford, Wicklow Division",53.0107896,-6.108289000000001
"35303 Askeaton, Limerick Division",52.6005095,-8.975062
"35304 Athea, Limerick Division",52.4606497,-9.287626
"23302 Athenry, Galway Division",53.30075369999999,-8.745493
"24501 Athleague, Roscommon/Longford Division",53.5676272,-8.2567472
"44101 Athlone, Westmeath Division",53.4239226,-7.940277499999999
"45101 Athy, Kildare Division",52.99235849999999,-6.9833981
"43303 Aughrim, Wicklow Division",52.8559337,-6.325933099999999
"43304 Avoca, Wicklow Division",52.8586664,-6.2140891
"42201 Baile Atha Bui, Meath Division",53.653042,-6.68423
"34305 Baile an Fheirtéaraigh, Kerry Division",52.16615,-10.40599
"33502 Baile Bhuirne, Cork West Division",51.9454917,-9.1640894
"11101 Bailieboro, Cavan/Monaghan Division",54.243563,-7.03949
"63101 Balbriggan, D.M.R. Northern Division",53.6083194,-6.182079799999999
"22301 Balla, Mayo Division",53.8043767,-9.1305014
"24201 Ballaghderreen, Roscommon/Longford Division",53.9016968,-8.5792106
"22201 Ballina, Mayo Division",54.1149482,-9.1550693
"11402 Ballinagh, Cavan/Monaghan Division",53.9302,-7.41044
"13201 Ballinamore, Sligo/Leitrim Division",54.0526458,-7.8010706
"23102 Ballinasloe, Galway Division",53.3281251,-8.2236807
"31201 Ballincollig, Cork City Division",51.888026,-8.594904099999999
"22401 Ballindine, Mayo Division",53.66925690000001,-8.9567295
"33101 Ballineen, Cork West Division",51.735556,-8.948611000000001
"51302 Ballingarry North, Tipperary Division",53.0176522,-8.0309972
"51501 Ballingarry South, Tipperary Division",52.5863379,-7.5416271
"35305 Ballingarry, Limerick Division",52.4732187,-8.8627555
"33102 Ballinhassig, Cork West Division",51.8123488,-8.537721099999999
"24202 Ballinlough, Roscommon/Longford Division",53.7418858,-8.6335579
"22402 Ballinrobe, Mayo Division",53.6237338,-9.2211143
"12101 Ballintra, Donegal Division",54.57884989999999,-8.1243234
"42401 Ballivor, Meath Division",53.5329521,-6.968071699999999
"53101 Ballon, Kilkenny/Carlow Division",52.6549027,-7.246402900000001
"11301 Ballybay, Cavan/Monaghan Division",54.13003089999999,-6.902762999999999
"12301 Ballybofey, Donegal Division",54.7968244,-7.787548099999999
"34201 Ballybunion, Kerry Division",52.51108,-9.670969999999999
"11201 Ballyconnell, Cavan/Monaghan Division",54.1162175,-7.583954299999999
"32401 Ballycotton, Cork North Division",51.8299148,-8.0097621
"22102 Ballycroy, Mayo Division",54.0238928,-9.8260445
"52301 Ballycullane, Wexford Division",52.2803179,-6.8397818
"33202 Ballydehob, Cork West Division",51.5644261,-9.463412199999999
"33401 Ballydesmond, Cork West Division",52.1796564,-9.2341524
"34202 Ballyduff, Co. Kerry, Kerry Division",52.45455159999999,-9.662905199999999
"66201 Ballyfermot, D.M.R. Western Division",53.3422507,-6.353559799999999
"23103 Ballygar, Galway Division",53.5238778,-8.3346912
"53301 Ballyhale, Kilkenny/Carlow Division",52.4669813,-7.2002655
"22501 Ballyhaunis, Mayo Division",53.7628378,-8.7645957
"34203 Ballyheigue, Kerry Division",52.3904645,-9.8277419
"11102 Ballyjamesduff, Cavan/Monaghan Division",53.86366409999999,-7.2072084
"35101 Ballylanders, Limerick Division",52.37351659999999,-8.3455064
"41205 Ballylinan, Laois/Offaly Division",52.94358829999999,-7.0420455
"54105 Ballymacarberry, Waterford Division",52.2670804,-7.717650399999999
"24407 Ballymahon, Roscommon/Longford Division",53.5642508,-7.764782800000001
"44103 Ballymore, Westmeath Division",53.4909131,-7.679746399999999
"13103 Ballymote, Sligo/Leitrim Division",54.0898507,-8.516575099999999
"63201 Ballymun, D.M.R. Northern Division",53.3968675,-6.2643161
"44201 Ballynacargy, Westmeath Division",53.5820789,-7.5364989
"35401 Ballyneety, Limerick Division",52.5977547,-8.5490207
"32201 Ballynoe, Cork North Division",52.05968499999999,-8.0975355
"51102 Ballyporeen, Tipperary Division",52.2701094,-8.0992106
"12102 Ballyshannon, Donegal Division",54.5029882,-8.1920416
"21201 Ballyvaughan, Clare Division",53.1155333,-9.149423299999999
"33302 Baltimore, Cork West Division",51.4843274,-9.3661093
"43101 Baltinglass, Wicklow Division",52.94110939999999,-6.7083115
"41101 Banagher, Laois/Offaly Division",53.1901112,-7.986104900000001
"33105 Bandon, Cork West Division",51.7454716,-8.7349449
"22103 Bangor Erris, Mayo Division",54.14464839999999,-9.7428784
"51601 Bansha, Tipperary Division",52.4482369,-8.0642959
"33203 Bantry, Cork West Division",51.6792697,-9.4504086
"23802 Barnaderg, Galway Division",53.4794878,-8.7205439
"34102 Barraduff, Kerry Division",52.0600263,-9.336300099999999
"33501 Béal atha an Ghaorthaidh, Cork West Division",51.903614,-8.468399
"22104 Béal an Mhuirthead, Mayo Division",54.2238996,-9.9876028
"11203 Belturbet, Cavan/Monaghan Division",54.10190559999999,-7.449668
"53302 Bennettsbridge, Kilkenny/Carlow Division",52.5923475,-7.1843272
"41102 Birr, Laois/Offaly Division",53.0980052,-7.909688200000001
"31401 Bishopstown, Cork City Division",51.87727049999999,-8.5307689
"11204 Blacklion, Cavan/Monaghan Division",54.2920639,-7.875127599999999
"31104 Blackrock, Co Cork, Cork City Division",51.8997347,-8.4024717
"65101 Blackrock, Co Dublin, D.M.R. Eastern Division",53.2992899,-6.185863899999999
"14301 Blackrock, Co Louth, Louth Division",53.96804160000001,-6.361808
"52101 Blackwater, Wexford Division",52.4473539,-6.346930299999999
"66101 Blanchardstown, D.M.R. Western Division",53.3839704,-6.377579
"31202 Blarney, Cork City Division",51.9338275,-8.5612438
"43102 Blessington, Wicklow Division",53.1696579,-6.534068700000001
"33402 Boherbue, Cork West Division",52.1582386,-9.0684828
"22203 Bonniconlon, Mayo Division",54.10908999999999,-9.03075
"53102 Borris, Kilkenny/Carlow Division",52.6012982,-6.9279771
"41206 Borris-In-Ossory, Laois/Offaly Division",52.9390414,-7.632163599999999
"51303 Borrisokane, Tipperary Division",52.9963736,-8.127325599999999
"51401 Borrisoleigh, Tipperary Division",52.7525257,-7.957887599999999
"23603 Bothar Na Tra, Galway Division",53.274001,-9.051266199999999
"24101 Boyle, Roscommon/Longford Division",53.9726447,-8.3037964
"43201 Bray, Wicklow Division",53.2010587,-6.1110501
"31105 Bridewell Cork, Cork City Division",51.9005301,-8.4769402
"62101 Bridewell Dublin, D.M.R. North Central Division",53.3470726,-6.2743992
"35102 Bruff, Limerick Division",52.4755485,-8.5474034
"35103 Bruree, Limerick Division",52.4243025,-8.6606015
"52201 Bunclody, Wexford Division",52.6550857,-6.652193
"12201 Buncrana, Donegal Division",55.1365797,-7.4560128
"12103 Bundoran, Donegal Division",54.4791416,-8.2779341
"12202 Burnfoot, Donegal Division",55.0583056,-7.4049447
"32301 Buttevant, Cork North Division",52.2321335,-8.670124699999999
