Garda Station
"35301 Abbeyfeale, Limerick Division"
"41201 Abbeyleix, Laois/Offaly Division"
"35302 Adare, Limerick Division"
"54101 Aglish, Waterford Division"
"23101 Ahascragh, Galway Division"
"12501 Ailt an Chorraiin, Donegal Division"
"12502 An Bun Beag, Donegal Division"
"12503 An Charraig, Donegal Division"
"23601 An Cheathru Rua, Galway Division"
"12504 An Clochain Liath, Donegal Division"
"34101 An Coirean, Kerry Division"
"12401 An Craoslach, Donegal Division"
"12402 An Fail Carrach, Donegal Division"
"23201 An Maim, Galway Division"
"54102 An Rinn, Waterford Division"
"23602 An Spideal, Galway Division"
"31101 Anglesea Street, Cork City Division"
"34303 Annascaul, Kerry Division"
"23301 Aran More, Galway Division"
"12507 Ard an Raitha, Donegal Division"
"14101 Ardee, Louth Division"
"34304 Ardfert, Kerry Division"
"51101 Ardfinnan, Tipperary Division"
"54103 Ardmore, Waterford Division"
"35201 Ardnacrusha, Limerick Division"
"23401 Ardrahan, Galway Division"
"43301 Arklow, Wicklow Division"
"41202 Arles, Laois/Offaly Division"
"11401 Arva, Cavan/Monaghan Division"
"42101 Ashbourne, Meath Division"
"43302 Ashford, Wicklow Division"
"35303 Askeaton, Limerick Division"
"35304 Athea, Limerick Division"
"23302 Athenry, Galway Division"
"24501 Athleague, Roscommon/Longford Division"
"44101 Athlone, Westmeath Division"
"45101 Athy, Kildare Division"
"43303 Aughrim, Wicklow Division"
"43304 Avoca, Wicklow Division"
"42201 Baile Atha Bui, Meath Division"
"34305 Baile an Fheirtéaraigh, Kerry Division"
"33502 Baile Bhuirne, Cork West Division"
"11101 Bailieboro, Cavan/Monaghan Division"
"63101 Balbriggan, D.M.R. Northern Division"
"22301 Balla, Mayo Division"
"24201 Ballaghderreen, Roscommon/Longford Division"
"22201 Ballina, Mayo Division"
"11402 Ballinagh, Cavan/Monaghan Division"
"13201 Ballinamore, Sligo/Leitrim Division"
"23102 Ballinasloe, Galway Division"
"31201 Ballincollig, Cork City Division"
"22401 Ballindine, Mayo Division"
"33101 Ballineen, Cork West Division"
"51302 Ballingarry North, Tipperary Division"
"51501 Ballingarry South, Tipperary Division"
"35305 Ballingarry, Limerick Division"
"33102 Ballinhassig, Cork West Division"
"24202 Ballinlough, Roscommon/Longford Division"
"22402 Ballinrobe, Mayo Division"
"12101 Ballintra, Donegal Division"
"42401 Ballivor, Meath Division"
"53101 Ballon, Kilkenny/Carlow Division"
"11301 Ballybay, Cavan/Monaghan Division"
"12301 Ballybofey, Donegal Division"
"34201 Ballybunion, Kerry Division"
"11201 Ballyconnell, Cavan/Monaghan Division"
"32401 Ballycotton, Cork North Division"
"22102 Ballycroy, Mayo Division"
"52301 Ballycullane, Wexford Division"
